0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,SET,Loop,18,,,
0,JMPZ,34,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Direction,4,,,
0,ADD,Jump,$Direction,1,,
0,RND,Time,10,,,
0,DIV,Time,$Time,30,,
0,ADD,Time,$Time,0.25,,
0,JMPREL,$Jump,,,,
0,JMPREL,4,,,,
0,JMPREL,6,,,,
0,JMPREL,8,,,,
0,JMPREL,10,,,,
0,SansBody,HandUp,,,,
0,SET,Dir2,2,,,
0,JMPREL,10,,,,
0,SansBody,HandRight,,,,
0,SET,Dir2,3,,,
0,JMPREL,7,,,,
0,SansBody,HandDown,,,,
0,SET,Dir2,0,,,
0,JMPREL,4,,,,
0,SansBody,HandLeft,,,,
0,SET,Dir2,1,,,
0,JMPREL,1,,,,
$Time,SansSlam,$Direction,,,,
0.05,BoneStab,$Direction,25,0.4,0,
0,BoneStab,$Dir2,111,0.4,0,
0.26666,JMPABS,6,,,,
0,EndAttack,,,,,
